Epoch,Loss,Accuracy
1,1.0023967027664185,0.4636015295982361
2,0.9919308423995972,0.6091954112052917
3,0.9219688773155212,0.6091954112052917
4,0.8972198367118835,0.6091954112052917
5,0.8398056626319885,0.6091954112052917
6,0.775634765625,0.6091954112052917
7,0.6911149621009827,0.6206896305084229
8,0.6076985001564026,0.7241379022598267
9,0.5208824276924133,0.8275862336158752
10,0.4923408031463623,0.8199234008789062
11,0.44886037707328796,0.8927202820777893
12,0.3772406280040741,0.8927202820777893
13,0.3680495321750641,0.8850574493408203
14,0.3754141330718994,0.8927202820777893
15,0.3401062488555908,0.8888888955116272
