Epoch,Loss,Accuracy,Validation Loss,Validation Accuracy
1,3.571176052093506,0.47863247990608215,1.2372024059295654,0.3333333432674408
2,1.3667546510696411,0.42307692766189575,1.5395437479019165,0.5925925970077515
3,1.0124633312225342,0.5982906222343445,0.5578891634941101,0.8888888955116272
4,0.7797284722328186,0.6410256624221802,0.6703104376792908,0.9259259104728699
5,0.6794784665107727,0.7991452813148499,0.549775242805481,0.5925925970077515
6,0.6140052676200867,0.7179487347602844,0.4885270893573761,0.8888888955116272
7,0.5710597038269043,0.8504273295402527,0.3943117558956146,0.8888888955116272
8,0.5473878383636475,0.7735042572021484,0.45692116022109985,0.9629629850387573
9,0.5439760684967041,0.8290598392486572,0.2902662754058838,0.9259259104728699
10,0.4278460443019867,0.8632478713989258,0.3322710394859314,0.9629629850387573
11,0.4438249170780182,0.8974359035491943,0.21571272611618042,0.9629629850387573
12,0.4168455898761749,0.8888888955116272,0.26683229207992554,0.9259259104728699
13,0.40838348865509033,0.8760683536529541,0.21089886128902435,0.9629629850387573
